# Carcara potential-energy surface: LiH (Li-H)
# method: RHF total energy; reference E=0 at sum of isolated atom UHF energies
# grid: box_size=10.0 A, spacing=0.16 A (uniform real-space)
# E(atoms) [hydrogenic] = -6.82094537 Ha
# E(atoms) [STO-3G] = -6.86023679 Ha
# E(atoms) [6-31G(d)] = -6.88933391 Ha
distance_angstrom,hydrogenic_total_Ha,hydrogenic_rel_eV,sto-3g_total_Ha,sto-3g_rel_eV,6-31g(d)_total_Ha,6-31g(d)_rel_eV
1.00000000,-6.79241196,0.77643369,-6.74114685,3.24060244,-6.77775551,3.03620286
1.32000000,-6.87767960,-1.54381714,-6.85695691,0.08925013,-6.89577824,-0.17535934
1.64000000,-6.88457886,-1.73155563,-6.88307406,-0.62143376,-6.92585102,-0.99368118
1.96000000,-6.87022506,-1.34096871,-6.87822384,-0.48945247,-6.92501341,-0.97088868
2.28000000,-6.85132344,-0.82662951,-6.86220895,-0.05366524,-6.91260508,-0.63324091
2.60000000,-6.83193185,-0.29895748,-6.84257903,0.48049220,-6.89652900,-0.19578859
2.92000000,-6.81308483,0.21389608,-6.82257879,1.02472647,-6.88014879,0.24993986
3.24000000,-6.79520458,0.70044239,-6.80366464,1.53940655,-6.86482334,0.66696637
