basis,pool,distance_A,energy_eV,reference_eV,num_operators,converged,inner_failures,n_qubits,particle_sector_weight
STO-3G,fermionic,1.12,-209.23888568195525,-208.88607679217768,3,True,0,4,1.0000000000000002
STO-3G,qubit,1.12,-209.23888568193783,-208.88607679217768,3,True,0,4,1.0000000000000002
STO-3G,qeb,1.12,-209.2388856819676,-208.88607679217768,3,True,0,4,1.0000000000000002
STO-3G,ceo,1.12,-209.2388856819676,-208.88607679217768,3,True,0,4,1.0000000000000002
STO-3G,fermionic,1.3600000000000008,-210.59909150562217,-210.18902907194226,3,True,0,4,1.0000000000000002
STO-3G,qubit,1.3600000000000008,-210.59909150572958,-210.18902907194226,3,True,0,4,0.9999999999999998
STO-3G,qeb,1.3600000000000008,-210.5990915056644,-210.18902907194226,3,True,0,4,1.0
STO-3G,ceo,1.3600000000000008,-210.5990915056644,-210.18902907194226,3,True,0,4,1.0
STO-3G,fermionic,1.6000000000000014,-210.99115747786192,-210.48381450381174,3,True,0,4,0.9999999999999999
STO-3G,qubit,1.6000000000000014,-210.99115747785785,-210.48381450381174,3,True,0,4,1.0
STO-3G,qeb,1.6000000000000014,-210.99115747783935,-210.48381450381174,3,True,0,4,1.0000000000000002
STO-3G,ceo,1.6000000000000014,-210.99115747783935,-210.48381450381174,3,True,0,4,1.0000000000000002
STO-3G,fermionic,1.840000000000002,-210.9730229223329,-210.34298044907146,3,True,0,4,1.0
STO-3G,qubit,1.840000000000002,-210.97302292231996,-210.34298044907146,3,True,0,4,1.0000000000000002
STO-3G,qeb,1.840000000000002,-210.9730229223329,-210.34298044907146,3,True,0,4,1.0
STO-3G,ceo,1.840000000000002,-210.9730229223329,-210.34298044907146,3,True,0,4,1.0
STO-3G,fermionic,2.0800000000000027,-210.78358108361243,-210.00823794743948,3,True,0,4,1.0
STO-3G,qubit,2.0800000000000027,-210.78358108359836,-210.00823794743948,3,True,0,4,1.0
STO-3G,qeb,2.0800000000000027,-210.78358108359095,-210.00823794743948,3,True,0,4,0.9999999999999999
STO-3G,ceo,2.0800000000000027,-210.78358108359095,-210.00823794743948,3,True,0,4,0.9999999999999999
STO-3G,fermionic,2.3200000000000034,-210.53182312681238,-209.58866948560123,3,True,0,4,1.0
STO-3G,qubit,2.3200000000000034,-210.53182312684146,-209.58866948560123,3,True,0,4,0.9999999999999998
STO-3G,qeb,2.3200000000000034,-210.53182312672448,-209.58866948560123,3,True,0,4,1.0000000000000002
STO-3G,ceo,2.3200000000000034,-210.53182312672448,-209.58866948560123,3,True,0,4,1.0000000000000002
STO-3G,fermionic,2.560000000000004,-210.26994114604378,-209.13760052395557,3,True,0,4,1.0000000000000002
STO-3G,qubit,2.560000000000004,-210.2699411461207,-209.13760052395557,3,True,0,4,1.0000000000000002
STO-3G,qeb,2.560000000000004,-210.26994114616656,-209.13760052395557,3,True,0,4,1.0
STO-3G,ceo,2.560000000000004,-210.26994114616656,-209.13760052395557,3,True,0,4,1.0
STO-3G,fermionic,2.8000000000000047,-210.0218389088141,-208.6824708522936,3,True,0,4,1.0000000000000002
STO-3G,qubit,2.8000000000000047,-210.0218389086124,-208.6824708522936,3,True,0,4,0.9999999999999998
STO-3G,qeb,2.8000000000000047,-210.02183890859084,-208.6824708522936,3,True,0,4,1.0
STO-3G,ceo,2.8000000000000047,-210.02183890859084,-208.6824708522936,3,True,0,4,1.0
3-21G,fermionic,1.12,-209.57067281687875,-209.07913120454344,20,True,0,8,0.9999999999999993
3-21G,qubit,1.12,-209.5706616113194,-209.07913120454347,40,False,0,8,0.9999996428012391
3-21G,qeb,1.12,-209.57067281411867,-209.0791312045435,18,True,0,8,1.0
3-21G,ceo,1.12,-209.57067281411867,-209.0791312045435,18,True,0,8,1.0
3-21G,fermionic,1.3600000000000008,-210.96518761807013,-210.48455131074164,23,True,0,8,0.9999999999999991
3-21G,qubit,1.3600000000000008,-210.96516255396347,-210.4845513107416,40,False,0,8,0.999999042590605
3-21G,qeb,1.3600000000000008,-210.9651876229769,-210.4845513107416,23,True,0,8,1.0000000000000002
3-21G,ceo,1.3600000000000008,-210.9651876229769,-210.4845513107416,23,True,0,8,1.0000000000000002
3-21G,fermionic,1.6000000000000014,-211.38411987236628,-210.8804328706069,19,True,0,8,0.9999999999999997
3-21G,qubit,1.6000000000000014,-211.38409014569345,-210.88043287060694,40,False,0,8,0.9999989555406518
3-21G,qeb,1.6000000000000014,-211.3841198748929,-210.8804328706069,21,True,0,8,0.9999999999999999
3-21G,ceo,1.6000000000000014,-211.3841198748929,-210.8804328706069,21,True,0,8,0.9999999999999999
3-21G,fermionic,1.840000000000002,-211.37756377737855,-210.82515955501427,17,True,0,8,1.0000000000000004
3-21G,qubit,1.840000000000002,-211.37753645976977,-210.82515955501427,40,False,0,8,0.9999988989389156
3-21G,qeb,1.840000000000002,-211.3775637769962,-210.82515955501427,17,True,0,8,0.9999999999999998
3-21G,ceo,1.840000000000002,-211.3775637769962,-210.82515955501427,17,True,0,8,0.9999999999999998
3-21G,fermionic,2.0800000000000027,-211.18578313249577,-210.56238995879372,20,True,0,8,0.9999999999999997
3-21G,qubit,2.0800000000000027,-211.185751834388,-210.56238995879372,40,False,0,8,0.9999990132291249
3-21G,qeb,2.0800000000000027,-211.18578313180643,-210.56238995879372,20,True,0,8,1.0000000000000002
3-21G,ceo,2.0800000000000027,-211.18578313180643,-210.56238995879372,20,True,0,8,1.0000000000000002
3-21G,fermionic,2.3200000000000034,-210.92248595834698,-210.2076970581995,20,True,0,8,1.0000000000000004
3-21G,qubit,2.3200000000000034,-210.92246771347988,-210.20769705819953,40,False,0,8,0.9999995077086209
3-21G,qeb,2.3200000000000034,-210.922485958148,-210.20769705819947,20,True,0,8,1.0000000000000004
3-21G,ceo,2.3200000000000034,-210.922485958148,-210.20769705819947,20,True,0,8,1.0000000000000004
3-21G,fermionic,2.560000000000004,-210.64502619490085,-209.81962261265545,18,True,0,8,1.0000000000000007
