optimizer,optimizer_steps,cost_evaluations,num_operators,energy_eV,max_gradient,adapt_converged,inner_failures,cnot_count,seconds,error_eV
SPSA,40000,120040,40,-492.5083124600876,0.003543554801159455,False,40,1208,85.89985737499956,0.013669488457537682
COBYLA,10534,16307,30,-492.5087720248046,6.0994999393525e-05,True,3,1168,21.49163116699492,0.013209923740532759
Nelder-Mead,24721,34309,31,-492.5087720183306,6.110011010548443e-05,True,19,1216,21.313369291005074,0.01320993021454342
SLSQP,223,4308,30,-492.50877202479046,6.0992928470919995e-05,True,0,1168,5.644568749994505,0.01320992375468677
BFGS,329,12478,30,-492.5087720247846,6.082493400150213e-05,True,6,1168,9.685102666990133,0.013209923760541642
L-BFGS,205,4871,30,-492.50877202466705,6.155613455161274e-05,True,0,1168,5.5213650000077905,0.013209923878093832
NLCG-PR,230,13131,30,-492.5087720247928,6.097073701150091e-05,True,4,1168,10.305286415998125,0.01320992375235619
