k_index,k1,k2,k3,k_distance_inv_ang,label,energy_eV,spectral_weight_per_eV
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-16.2162162162,1.5198007186e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-16.1561561562,1.5369127122e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-16.0960960961,1.5543288117e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-16.0360360360,1.5720554137e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.9759759760,1.5900992117e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.9159159159,1.6084671856e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.8558558559,1.6271665959e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.7957957958,1.6462049807e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.7357357357,1.6655901552e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.6756756757,1.6853302142e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.6156156156,1.7054335353e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.5555555556,1.7259087839e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.4954954955,1.7467649197e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.4354354354,1.7680112041e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.3753753754,1.7896572083e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.3153153153,1.8117128229e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.2552552553,1.8341882677e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.1951951952,1.8570941028e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.1351351351,1.8804412402e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.0750750751,1.9042409564e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-15.0150150150,1.9285049055e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-14.9549549550,1.9532451331e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-14.8948948949,1.9784740914e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-14.8348348348,2.0042046547e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-14.7747747748,2.0304501356e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-14.7147147147,2.0572243029e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-14.6546546547,2.0845413993e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-14.5945945946,2.1124161608e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-14.5345345345,2.1408638371e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-14.4744744745,2.1699002124e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-14.4144144144,2.1995416280e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-14.3543543544,2.2298050058e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-14.2942942943,2.2607078727e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-14.2342342342,2.2922683872e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-14.1741741742,2.3245053660e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-14.1141141141,2.3574383132e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-14.0540540541,2.3910874506e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-13.9939939940,2.4254737494e-03
