distance_A,energy_local_eV,num_operators,energy_measured_eV,std_measured_eV,shots,backend,job_id,optimal_parameters
0.5,-26.334842123526045,1,-25.943408609130906,0.13762430069778472,4096,ibm_fez,daicus1hvn6c73ct2je0,-0.0761000000
0.6,-28.380731163852325,1,-28.00337712060049,0.03803373377441863,4096,ibm_fez,daicus1hvn6c73ct2je0,-0.0878500000
0.74,-29.960390768549182,1,-29.51775597138561,0.25874014033996773,4096,ibm_fez,daicus1hvn6c73ct2je0,-0.1111000000
0.9,-30.541409486637264,1,-30.178138339434373,0.1741860027768602,4096,ibm_fez,daicus1hvn6c73ct2je0,-0.1437500000
1.1,-30.153352153579082,1,-30.023167182924514,0.196605063328402,4096,ibm_fez,daicus1hvn6c73ct2je0,-0.1929000000
1.4,-28.828704358497063,1,-28.604636810646543,0.1527027415393044,4096,ibm_fez,daicus1hvn6c73ct2je0,-0.2826000000
1.8,-27.774621338216694,1,-27.701985679681847,0.05896475812999414,4096,ibm_fez,daicus1hvn6c73ct2je0,-0.4293500000
