optimizer,optimizer_steps,cost_evaluations,num_operators,energy_eV,max_gradient,adapt_converged,inner_failures,cnot_count,seconds,error_eV
SPSA,11377,34143,12,-162.953932356871,0.0015180628706960575,False,11,66,2.3508116669981973,5.442111111619852e-05
COBYLA,4247,5470,12,-162.95398201487373,9.340020432319074e-05,True,4,66,2.5822110409935704,4.763108393035509e-06
Nelder-Mead,3270,5935,10,-162.95398605584663,2.8407248303746746e-05,True,0,60,0.46815045799303334,7.221354962894111e-07
SLSQP,76,632,10,-162.95398605584296,2.8774125254260596e-05,True,0,60,0.12539104200550355,7.221391626899276e-07
BFGS,80,1066,10,-162.95398605582113,2.807620954659029e-05,True,0,60,0.17171929200412706,7.221609905627702e-07
L-BFGS,85,844,10,-162.9539860557165,2.9166846944733704e-05,True,0,60,0.14125404099468142,7.222656108751835e-07
NLCG-PR,137,2339,10,-162.95398605558634,2.88380405333577e-05,True,0,60,0.25795954100613017,7.223957823043747e-07
