distance_A,energy_local_eV,num_operators,energy_measured_eV,std_measured_eV,shots,backend,job_id,optimal_parameters
0.5,-25.528408529064702,1,-25.44166309035536,1.3366258116525689,4096,ibm_kingston,daicj6omhr3c73e7jngg,-0.0761000000
0.6,-29.023884163383524,1,-29.33079701307138,1.0485224420156272,4096,ibm_kingston,daicj6omhr3c73e7jngg,-0.0925000000
0.74,-29.377664850364262,1,-29.553835081671984,0.9047220406889515,4096,ibm_kingston,daicj6omhr3c73e7jngg,-0.1108000000
0.9,-29.934188647866,1,-30.363207959166242,0.7753673425892912,4096,ibm_kingston,daicj6omhr3c73e7jngg,-0.1421500000
1.1,-29.571330278084066,1,-29.69839662888707,0.5738119714046808,4096,ibm_kingston,daicj6omhr3c73e7jngg,-0.1907500000
1.4,-29.458450350513537,1,-29.94984011109067,0.4184747439790338,4096,ibm_kingston,daicj6omhr3c73e7jngg,-0.2925000000
1.8,-28.462093276528904,1,-30.17658031198365,0.4248737086188319,4096,ibm_kingston,daicj6omhr3c73e7jngg,-0.4402000000
