distance_A,energy_local_Ha,num_operators,energy_measured_Ha,std_measured_Ha,shots,backend,job_id,optimal_parameters
1.0,-7.605696202138198,6,-7.085928587067781,0.021803752123815343,4096,ibm_kingston,daibf41hvn6c73ct0ojg,-0.1783514592 0.0557410841 -0.0041256838 -0.0042338923 0.0529007624 0.0003068822
1.3,-7.698994773938708,8,-7.215929204308137,0.026271835149676685,4096,ibm_kingston,daibf41hvn6c73ct0ojg,-0.1859531458 0.0545453209 0.0528599105 -0.0019752171 -0.0020149186 -0.0001538140 0.0002552724 0.0002966770
1.6,-7.7221381184543105,8,-6.9471533037076085,0.052029986723727314,4096,ibm_kingston,daibf41hvn6c73ct0ojg,-0.2175271163 0.0557035884 0.0576562944 -0.0008056554 -0.0004984531 -0.0005216391 0.0002207396 0.0002698284
1.9,-7.721522833944498,8,-7.190584834614158,0.024468308257869102,4096,ibm_kingston,daibf41hvn6c73ct0ojg,-0.2604972354 -0.0641112379 -0.0012988333 -0.0604987768 0.0002632898 0.0003072511 -0.0002965788 -0.0002608719
2.2,-7.713279029296075,8,-6.939220351412473,0.02700182809947769,4096,ibm_kingston,daibf41hvn6c73ct0ojg,-0.3129609027 -0.0733532501 -0.0014996335 -0.0685849924 -0.0007164491 -0.0006804041 0.0003360937 0.0003872607
2.6,-7.7006270794845655,8,-6.919019251708664,0.02699246572066074,4096,ibm_kingston,daibf41hvn6c73ct0ojg,-0.3931919044 -0.0991307199 -0.0015081210 -0.0010211903 -0.0724222521 -0.0010030837 0.0004822549 0.0004050634
2.8,-7.695083500946785,8,-7.046277097615339,0.02679598731943772,4096,ibm_kingston,daibf41hvn6c73ct0ojg,-0.4352520824 -0.1135951488 -0.0013987917 -0.0011237771 -0.0010313695 -0.0740338074 0.0005508399 0.0005700463
