distance_A,energy_local_eV,num_operators,energy_measured_eV,std_measured_eV,shots,backend,job_id,optimal_parameters
0.5,-26.334842123526045,1,-26.414324809158735,1.0266532196028981,4096,ibm_kingston,daicn7r9k43c73afrj5g,-0.0761000000
0.6,-28.380731163852325,1,-28.15837631737498,1.0960023700714707,4096,ibm_kingston,daicn7r9k43c73afrj5g,-0.0878500000
0.74,-29.960390768549182,1,-29.91486588437271,0.9087858564696655,4096,ibm_kingston,daicn7r9k43c73afrj5g,-0.1111000000
0.9,-30.541409486637264,1,-30.814250047390974,1.6043659965343149,4096,ibm_kingston,daicn7r9k43c73afrj5g,-0.1437500000
1.1,-30.153352153579082,1,-30.623405929725003,0.35843781954261245,4096,ibm_kingston,daicn7r9k43c73afrj5g,-0.1929000000
1.4,-28.828704358497063,1,-29.5859595425509,0.8412739394379134,4096,ibm_kingston,daicn7r9k43c73afrj5g,-0.2826000000
1.8,-27.774621338216694,1,-29.520867889206464,0.18491447486985282,4096,ibm_kingston,daicn7r9k43c73afrj5g,-0.4293500000
