optimizer,optimizer_steps,cost_evaluations,num_operators,energy_eV,max_gradient,adapt_converged,inner_failures,cnot_count,seconds,error_eV
SPSA,40000,120040,40,-492.5041064888937,0.011824908148545884,False,40,538,89.27114945799985,0.017875459651463643
COBYLA,17067,26521,40,-492.5122982908606,0.0006065934297491642,False,14,488,46.858830042008776,0.009683657684547597
Nelder-Mead,33297,44701,40,-492.512252087826,0.0005726025408099439,False,28,508,44.938650166994194,0.009729860719119188
SLSQP,471,13424,40,-492.5123454331868,0.0005021072716132613,False,0,488,16.745366083006957,0.009636515358351971
BFGS,819,45672,40,-492.5123454338333,0.0005005624218075155,False,19,486,59.359699790991726,0.009636514711871769
L-BFGS,444,15342,40,-492.51234543149155,0.0005003652500827072,False,0,488,22.622072208992904,0.009636517053593252
NLCG-PR,963,75309,40,-492.512345433141,0.0005004726120213104,False,13,490,93.99310745800904,0.009636515404167767
